,y_test_original,y_test_model
0,5200.37,6403.219
1,5392.31,5755.8027
2,5014.48,5320.475
3,5225.63,5291.93
4,5238.44,5218.1094
5,6191.19,5225.562
6,6198.78,5471.6387
7,6185.07,5800.736
8,5830.25,6037.6694
9,6416.31,6109.5522
10,6734.8,6159.2793
11,6681.06,6330.769
12,6716.44,6493.536
13,6469.8,6670.0815
14,6242.19,6657.5293
15,5922.04,6521.3965
16,6429.84,6312.1016
17,6438.64,6252.902
18,6606.78,6287.771
19,6793.62,6404.397
20,6733.39,6597.844
21,6867.53,6680.712
22,6791.13,6774.961
23,7271.78,6812.886
24,7176.41,6942.1196
25,7334.1,7065.2974
26,7302.09,7184.367
27,6865.49,7284.7803
28,6859.08,7179.417
29,6971.09,7067.131
30,6845.04,6981.952
31,6842.43,6902.2783
32,6642.11,6890.3516
33,7116.8,6824.3115
34,7096.18,6869.325
35,7257.66,6955.9805
36,7189.42,7074.983
37,6881.96,7184.184
38,6880.32,7117.02
39,7117.21,7036.3945
40,7429.72,7011.7695
41,7550.9,7111.9507
42,7569.94,7296.3667
43,7679.87,7456.925
44,7795.6,7577.6147
45,7807.06,7667.89
46,8801.04,7736.047
47,8658.55,8055.5127
48,8864.77,8337.331
49,8988.6,8596.836
50,8897.47,8832.447
51,8912.65,8870.287
52,9003.07,8914.035
53,9268.76,8942.42
54,9951.52,9028.577
55,9842.67,9316.551
56,9593.9,9571.687
57,8756.43,9686.398
58,8601.8,9480.585
59,8804.48,9109.411
60,9269.99,8868.527
61,9733.72,8868.464
62,9328.2,9154.642
63,9377.01,9333.565
64,9670.74,9421.712
65,9726.57,9497.707
66,9729.04,9540.673
67,9522.98,9638.525
68,9081.76,9649.218
69,9182.58,9479.562
70,9209.29,9325.258
71,8790.37,9217.959
72,8906.93,9059.973
73,8835.05,8990.856
74,9181.02,8908.143
75,9525.75,8934.528
76,9439.12,9133.477
77,9700.41,9285.056
78,9461.06,9475.162
79,10167.27,9528.064
80,9529.8,9695.692
81,9656.72,9721.683
82,9800.64,9696.906
83,9665.53,9741.71
84,9653.68,9666.963
85,9758.85,9681.167
86,9771.49,9698.216
87,9795.7,9706.216
88,9870.09,9740.161
89,9321.78,9789.008
90,9480.84,9671.718
91,9475.28,9573.821
92,9386.79,9498.461
93,9450.7,9415.297
94,9538.02,9432.836
95,9480.26,9452.71
96,9411.84,9463.224
97,9288.02,9460.269
98,9332.34,9407.798
99,9303.63,9355.899
100,9648.72,9318.948
101,9629.66,9392.351
102,9313.61,9490.769
103,9264.81,9479.508
104,9162.92,9428.427
105,9045.39,9305.637
106,9143.58,9175.917
107,9190.85,9133.734
108,9137.99,9128.91
109,9228.33,9132.1045
110,9123.41,9169.608
111,9087.3,9163.649
112,9132.49,9135.49
113,9073.94,9127.107
114,9375.47,9097.427
115,9252.28,9165.903
116,9428.33,9216.1875
117,9277.97,9290.515
118,9278.81,9325.453
119,9240.35,9302.326
120,9276.5,9286.407
121,9243.61,9258.366
122,9243.21,9250.995
123,9192.84,9243.17
124,9132.23,9227.798
125,9151.39,9190.568
126,9159.04,9165.243
127,9185.82,9149.256
128,9164.23,9152.75
129,9374.89,9160.175
130,9525.36,9218.395
131,9581.07,9321.109
132,9536.89,9428.7705
133,9677.11,9507.485
134,9905.17,9572.256
135,10990.87,9674.393
136,10912.82,10061.111
137,11100.47,10443.353
138,11111.21,10775.919
139,11323.47,11005.953
140,11759.59,11098.277
141,11053.61,11313.979
142,11246.35,11307.118
143,11205.89,11293.042
144,11747.02,11243.711
145,11779.77,11300.455
146,11601.47,11493.569
147,11754.05,11580.019
148,11675.74,11670.842
149,11878.11,11657.342
150,11410.53,11694.453
151,11584.93,11636.412
152,11784.14,11580.306
153,11768.87,11607.109
154,11865.7,11622.653
155,11892.8,11723.13
156,12254.4,11790.207
157,11991.23,11916.248
158,11758.28,11976.1045
159,11878.37,11928.281
160,11592.49,11890.797
161,11681.83,11746.922
162,11664.85,11674.736
163,11774.6,11648.087
164,11366.14,11644.273
165,11488.36,11578.542
166,11323.4,11514.11
167,11542.5,11425.773
168,11506.87,11394.015
169,11711.51,11430.6045
170,11680.82,11499.51
171,11970.48,11581.571
172,11414.03,11693.878
173,10245.3,11658.505
174,10511.81,11244.828
175,10169.57,10885.051
176,10280.35,10489.372
177,10369.56,10277.274
178,10131.52,10297.3955
179,10242.35,10226.78
180,10363.14,10227.131
181,10400.91,10250.064
182,10442.17,10281.371
183,10323.76,10352.701
184,10680.84,10363.566
185,10796.95,10441.164
186,10974.9,10556.8
187,10948.99,10705.55
188,10944.59,10842.426
189,11094.35,10897.336
190,10938.27,10961.191
191,10462.26,10958.045
192,10538.46,10819.514
193,10246.19,10686.907
194,10760.07,10487.331
195,10692.72,10473.737
196,10750.72,10550.265
197,10775.27,10620.025
198,10709.65,10717.63
199,10844.64,10709.607
200,10784.49,10742.601
201,10619.45,10754.791
202,10575.98,10713.983
203,10549.33,10662.307
204,10669.58,10591.381
205,10793.34,10576.214
206,10604.41,10631.071
207,10668.97,10641.69
208,10915.69,10654.279
209,11064.46,10715.406
210,11296.36,10811.259
211,11384.18,10989.297
212,11555.36,11161.24
213,11425.9,11315.882
214,11429.51,11393.839
215,11495.35,11413.503
216,11322.12,11430.711
217,11358.1,11381.886
218,11483.36,11356.876
219,11742.04,11370.542
220,11916.34,11455.621
221,12823.69,11615.91
222,12965.89,11996.183
223,12931.54,12390.399
224,13108.06,12673.831
225,13031.17,12903.63
226,13075.25,12951.554
227,13654.22,12977.463
228,13271.29,13157.898
229,13437.88,13223.306
230,13546.52,13302.805
231,13780.99,13389.075
232,13737.11,13457.726
233,13550.49,13570.298
234,13950.3,13582.882
235,14133.71,13665.176
236,15579.85,13779.432
237,15565.88,14285.22
238,14833.75,14820.215
239,15479.57,14999.881
240,15332.32,15204.146
241,15290.9,15175.8955
242,15701.34,15150.443
243,16276.34,15324.18
244,16317.809999999998,15563.019
245,16068.139999999998,15833.98
246,15955.59,15987.903
247,16716.11,15993.598
248,17645.41,16111.222
249,17804.01,16512.188
250,17817.09,16988.64
251,18621.31,17390.521
252,18642.23,17805.531
253,18370.0,18075.451
254,18364.12,18202.414
255,19107.46,18263.76
256,18732.12,18398.963
257,17150.62,18467.281
258,17108.4,18112.514
259,17717.42,17678.646
260,18177.48,17388.08
261,19625.84,17407.746
262,18803.0,18065.938
263,19201.09,18481.283
264,19445.4,18770.256
265,18699.77,19002.11
266,19154.23,18829.043
267,19345.12,18859.146
268,19191.63,18906.697
269,18321.14,18902.168
270,18553.92,18748.484
271,18264.99,18553.752
272,18058.9,18311.76
273,18803.66,18079.754
274,19142.38,18189.262
275,19246.64,18397.861
276,19417.08,18665.76
277,21310.6,18948.44
278,22805.16,19583.838
279,23137.96,20586.848
280,23869.83,21580.404
281,23477.3,22537.97
282,22803.08,22971.723
283,23783.03,22907.283
284,23241.34,23003.912
285,23735.95,22918.764
286,24664.79,23010.064
287,26437.04,23434.404
288,26272.29,24192.18
289,27084.81,24951.076
290,27362.44,25680.803
291,28840.95,26238.307
292,29001.72,26864.168
293,29374.15,27520.234
294,32127.27,28045.707
295,32782.02,29146.77
296,31971.91,30197.383
297,33992.43,30849.506
298,36824.36,31738.037
299,39371.04,32953.47
300,40797.61,34708.24
301,40254.55,36709.098
302,38356.44,37951.82
303,35566.66,38024.78
304,33922.96,36903.93
305,37316.36,35227.56
306,39187.33,34740.86
307,36825.37,35348.074
308,36178.14,35738.797
309,35791.28,35871.457
310,36630.08,35371.863
311,36069.81,34969.125
312,35547.75,34867.34
313,30825.7,34703.68
314,33005.76,33352.78
315,32067.639999999996,32411.33
316,32289.38,31635.053
317,32366.389999999996,31164.182
318,32569.85,31385.174
319,30432.55,31358.604
320,33466.1,30913.123
321,34316.39,31165.117
322,34269.52,31780.86
323,33114.36,32340.21
324,33537.18,32701.928
325,35510.29,32617.553
326,37472.09,32979.78
327,36926.06,33939.36
328,38144.31,34839.387
329,39266.01,35744.934
330,38903.44,36551.023
331,46196.46,36942.793
332,46481.1,39134.758
333,44918.18,41248.887
334,47909.33,42424.258
335,47504.85,43920.23
336,47105.52,44317.207
337,48717.29,44502.766
338,47945.06,45161.04
339,49199.87,45244.902
340,52149.01,45631.34
341,51679.8,46765.703
342,55888.13,47552.902
343,56099.52,49251.805
344,57539.94,50700.902
345,54207.32,51878.78
346,48824.43,52069.836
347,49705.33,50237.42
348,47093.85,48626.23
349,46339.76,46629.41
350,46188.45,45157.25
351,45137.77,44512.11
352,49631.24,43664.066
353,48378.99,44367.992
354,50538.24,44985.99
355,48561.17,45973.96
356,48927.3,46446.16
357,48912.38,46286.727
358,51206.69,46288.203
359,52246.52,46637.574
360,54824.12,47535.926
361,56008.55,48902.26
362,57805.12,50388.656
363,57332.09,51789.258
364,61243.08,52724.805
365,59302.32,54071.242
366,55907.2,54728.812
367,56804.9,54131.08
368,58870.89,53674.832
369,57858.92,53458.64
370,58346.65,53426.742
371,58313.64,53825.305
372,57523.42,54028.953
373,54529.15,53784.39
374,54738.94,52927.004
375,52774.26,52071.09
376,51704.16,50939.105
377,55137.31,49796.133
378,55973.51,50000.344
379,55950.75,50575.52
380,57750.2,51314.934
381,58917.69,52400.914
382,58918.83,53245.16
383,59095.81,53885.617
384,59384.31,54408.785
385,57603.89,54684.66
386,58758.56,54362.527
387,59057.88,54281.99
388,58192.36,54331.535
389,56048.94,54174.316
390,58323.95,53663.793
391,58245.0,53553.79
392,59793.24,53556.72
393,60204.96,54055.938
394,59893.45,54839.203
395,63503.46000000001,55155.93
396,63109.7,56236.23
397,63314.01,57018.03
398,61572.79,57619.8
399,60683.82,57673.492
400,56216.19,57026.3
401,55724.27,55436.51
402,56473.03,53806.188
403,53906.09,52865.24
404,51762.27,51702.055
405,51093.65,50614.01
406,50050.87,49501.266
407,49004.25,48271.83
408,54021.75,47298.863
409,55033.12,47957.797
410,54824.7,49123.535
411,53555.11,50192.293
412,57750.18,50752.79
413,57828.05,51557.395
414,56631.08,52344.895
415,57200.29,52725.51
416,53333.54,53172.145
417,57424.01,52152.137
418,56396.51,52121.688
419,57356.4,52209.332
420,58803.78,52448.48
421,58232.32,53411.918
422,55859.8,53677.348
423,56704.57,53381.992
424,49150.53,53087.973
425,49716.19,50913.56
426,49880.53,48973.754
427,46760.19,47751.402
428,46456.06,46034.027
429,43537.51,45267.44
430,42909.4,43836.367
431,37002.44,42383.02
432,40782.74,40062.71
433,37304.69,38863.86
434,37536.63,37624.64
435,34770.58,36648.258
436,38705.98,35833.727
437,38402.22,35597.16
438,39294.2,36020.93
439,38436.97,36594.652
440,35697.61,37164.32
441,34616.07,36378.53
442,35678.13,35308.785
443,37332.85,34550.64
444,36684.92,34597.074
445,37575.18,34946.496
446,39208.77,35529.05
447,36894.41,36307.387
448,35551.96,36251.547
449,35862.38,35774.793
450,33560.71,35237.867
451,33472.63,34071.688
452,37345.12,33273.6
453,36702.6,33787.703
454,37334.4,34300.902
455,35552.52,35127.926
456,39097.86,35310.152
457,40218.48,35772.117
458,40406.27,36731.746
459,38347.06,37577.465
460,38053.5,37895.863
461,35787.24,37479.84
462,35615.87,36403.16
463,35698.3,35357.812
464,31676.69,34788.727
465,32505.66,33380.145
466,33723.03,32478.268
467,34662.44,32139.78
468,31637.78,32262.43
469,32186.28,32143.1
470,34649.64,31852.748
471,34434.34,32117.328
472,35867.78,32381.928
473,35040.84,33329.12
474,33572.12,33852.957
475,33897.05,33530.3
476,34668.55,33254.336
477,35287.78,33085.91
478,33746.0,33297.05
479,34235.19,33292.184
480,33855.33,33254.1
481,32877.37,33046.805
482,33798.01,32552.904
483,33520.52,32514.486
484,34240.19,32418.486
485,33155.85,32577.275
486,32702.029999999995,32580.33
487,32822.35,32279.63
488,31780.729999999996,32058.36
489,31421.54,31547.06
490,31533.07,31119.246
491,31796.810000000005,30834.094
492,30817.83,30685.482
493,29807.35,30471.658
494,32110.69,30013.463
495,32313.11,30153.021
496,33581.55,30461.96
497,34292.45,31203.215
498,35350.19,32153.91
499,37337.53,32939.06
500,39406.94,34102.18
501,39995.91,35523.66
502,40008.42,36838.383
503,42235.55,37760.402
504,41626.2,38778.297
505,39974.9,39314.16
506,39201.95,39212.234
507,38152.98,38784.508
508,39747.51,37860.004
509,40869.55,37561.023
510,42816.5,37930.2
511,44555.8,38910.023
512,43798.12,40358.125
513,46365.4,41215.938
514,45585.03,42325.87
515,45593.64,42908.84
516,44428.29,43131.805
517,47793.32,43063.258
518,47096.95,43485.28
519,47047.0,43949.93
520,46004.48,44284.5
521,44695.36,44367.344
522,44801.19,43653.414
523,46717.58,43110.938
524,49339.18,43188.094
525,48905.49,44172.35
526,49321.65,45163.434
527,49546.15,45981.61
528,47706.12,46441.832
529,48960.79,46065.24
530,46942.22,46008.348
531,49058.67,45484.87
532,48902.4,45475.2
533,48829.83,45753.145
534,47054.98,45833.953
535,47166.69,45654.242
536,48847.03,45183.492
537,49327.72,45252.285
538,50025.37,45568.516
539,49944.63,46230.168
540,51753.41,46736.57
541,52633.54,47376.65
542,46811.13,48142.97
543,46091.39,47288.5
544,46391.42,46055.895
545,44883.91,44872.598
546,45201.46,43559.477
547,46063.27,43198.84
548,44963.07,43226.926
549,47092.49,43017.934
550,48176.35,43491.223
551,47783.36,44218.508
552,47267.52,44683.453
553,48278.36,44994.477
554,47260.22,45191.25
555,42843.8,45035.223
556,40693.68,43800.48
557,43574.51,42039.336
558,44895.1,41110.152
559,42839.75,41080.863
560,42716.59,41198.465
561,43208.54,41340.195
562,42235.73,41195.805
563,41034.54,40742.434
564,41564.36,40265.93
