,y_test_original,y_test_model
0,5225.63,5484.836
1,5238.44,5341.734
2,6191.19,5318.8003
3,6198.78,5556.997
4,6185.07,5895.6167
5,5830.25,6221.6465
6,6416.31,6407.2607
7,6734.8,6602.021
8,6681.06,6838.3174
9,6716.44,7047.5947
10,6469.8,7210.496
11,6242.19,7265.782
12,5922.04,7204.13
13,6429.84,7024.3457
14,6438.64,6919.3047
15,6606.78,6878.5195
16,6793.62,6918.3467
17,6733.39,7029.9463
18,6867.53,7144.618
19,6791.13,7262.4033
20,7271.78,7342.3184
21,7176.41,7484.3813
22,7334.1,7616.312
23,7302.09,7748.02
24,6865.49,7846.581
25,6859.08,7814.762
26,6971.09,7714.7837
27,6845.04,7621.795
28,6842.43,7526.818
29,6642.11,7448.9824
30,7116.8,7352.8984
31,7096.18,7363.147
32,7257.66,7426.2847
33,7189.42,7538.493
34,6881.96,7639.005
35,6880.32,7646.8906
36,7117.21,7600.4453
37,7429.72,7584.6143
38,7550.9,7657.851
39,7569.94,7792.652
40,7679.87,7937.7866
41,7795.6,8079.845
42,7807.06,8215.235
43,8801.04,8321.879
44,8658.55,8601.35
45,8864.77,8893.731
46,8988.6,9174.419
47,8897.47,9414.423
48,8912.65,9561.003
49,9003.07,9626.858
50,9268.76,9654.671
51,9951.52,9713.904
52,9842.67,9927.593
53,9593.9,10157.121
54,8756.43,10285.038
55,8601.8,10139.284
56,8804.48,9837.122
57,9269.99,9564.765
58,9733.72,9477.435
59,9328.2,9614.669
60,9377.01,9751.602
61,9670.74,9858.542
62,9726.57,9985.457
63,9729.04,10109.536
64,9522.98,10205.859
65,9081.76,10221.221
66,9182.58,10091.662
67,9209.29,9934.16
68,8790.37,9806.511
69,8906.93,9633.5205
70,8835.05,9497.646
71,9181.02,9396.223
72,9525.75,9409.897
73,9439.12,9558.448
74,9700.41,9726.926
75,9461.06,9922.872
76,10167.27,10037.632
77,9529.8,10237.884
78,9656.72,10305.379
79,9800.64,10310.769
80,9665.53,10315.538
81,9653.68,10292.631
82,9758.85,10257.278
83,9771.49,10246.165
84,9795.7,10253.437
85,9870.09,10273.132
86,9321.78,10310.56
87,9480.84,10226.707
88,9475.28,10127.388
89,9386.79,10043.351
90,9450.7,9968.487
91,9538.02,9929.357
92,9480.26,9937.159
93,9411.84,9954.762
94,9288.02,9957.051
95,9332.34,9921.732
96,9303.63,9884.211
97,9648.72,9848.183
98,9629.66,9898.54
99,9313.61,9982.324
100,9264.81,9994.228
101,9162.92,9950.704
102,9045.39,9864.994
103,9143.58,9751.341
104,9190.85,9670.934
105,9137.99,9638.452
106,9228.33,9626.84
107,9123.41,9647.549
108,9087.3,9657.079
109,9132.49,9649.087
110,9073.94,9643.281
111,9375.47,9628.221
112,9252.28,9678.11
113,9428.33,9727.152
114,9277.97,9802.362
115,9278.81,9842.427
116,9240.35,9853.671
117,9276.5,9839.132
118,9243.61,9822.522
119,9243.21,9802.178
120,9192.84,9784.598
121,9132.23,9761.123
122,9151.39,9725.675
123,9159.04,9695.367
124,9185.82,9676.321
125,9164.23,9673.377
126,9374.89,9674.957
127,9525.36,9724.234
128,9581.07,9822.349
129,9536.89,9937.657
130,9677.11,10026.086
131,9905.17,10110.542
132,10990.87,10225.254
133,10912.82,10573.073
134,11100.47,10957.931
135,11111.21,11313.924
136,11323.47,11572.378
137,11759.59,11764.814
138,11053.61,11977.093
139,11246.35,11995.98
140,11205.89,11945.05
141,11747.02,11861.766
142,11779.77,11905.251
143,11601.47,12017.312
144,11754.05,12095.755
145,11675.74,12165.88
146,11878.11,12195.5
147,11410.53,12241.533
148,11584.93,12180.668
149,11784.14,12114.464
150,11768.87,12109.196
151,11865.7,12136.614
152,11892.8,12196.008
153,12254.4,12261.997
154,11991.23,12396.473
155,11758.28,12476.005
156,11878.37,12451.2
157,11592.49,12403.433
158,11681.83,12292.81
159,11664.85,12197.447
160,11774.6,12131.577
161,11366.14,12122.811
162,11488.36,12052.328
163,11323.4,11989.146
164,11542.5,11908.096
165,11506.87,11886.367
166,11711.51,11894.998
167,11680.82,11962.603
168,11970.48,12038.204
169,11414.03,12163.974
170,10245.3,12160.272
171,10511.81,11819.265
172,10169.57,11437.605
173,10280.35,11059.253
174,10369.56,10801.98
175,10131.52,10690.479
176,10242.35,10624.67
177,10363.14,10614.775
178,10400.91,10660.043
179,10442.17,10731.27
180,10323.76,10808.667
181,10680.84,10845.028
182,10796.95,10931.8545
183,10974.9,11055.607
184,10948.99,11212.537
185,10944.59,11345.684
186,11094.35,11433.731
187,10938.27,11510.959
188,10462.26,11531.798
189,10538.46,11410.021
190,10246.19,11255.564
191,10760.07,11058.383
192,10692.72,11000.411
193,10750.72,11018.953
194,10775.27,11083.71
195,10709.65,11159.192
196,10844.64,11205.318
197,10784.49,11253.986
198,10619.45,11280.68
199,10575.98,11253.023
200,10549.33,11192.935
201,10669.58,11125.2295
202,10793.34,11097.587
203,10604.41,11127.011
204,10668.97,11137.346
205,10915.69,11146.615
206,11064.46,11208.265
207,11296.36,11318.451
208,11384.18,11481.11
209,11555.36,11653.805
210,11425.9,11828.663
211,11429.51,11934.936
212,11495.35,11979.125
213,11322.12,11996.067
214,11358.1,11957.86
215,11483.36,11907.959
216,11742.04,11893.602
217,11916.34,11961.315
218,12823.69,12096.418
219,12965.89,12439.609
220,12931.54,12845.972
221,13108.06,13175.756
222,13031.17,13419.992
223,13075.25,13541.935
224,13654.22,13581.69
225,13271.29,13706.138
226,13437.88,13763.757
227,13546.52,13807.383
228,13780.99,13857.854
229,13737.11,13954.38
230,13550.49,14041.659
231,13950.3,14057.01
232,14133.71,14121.05
233,15579.85,14240.507
234,15565.88,14696.251
235,14833.75,15216.725
236,15479.57,15458.486
237,15332.32,15630.111
238,15290.9,15694.829
239,15701.34,15683.779
240,16276.34,15738.522
241,16317.809999999998,15956.096
242,16068.139999999998,16214.973
243,15955.59,16363.376
244,16716.11,16382.396
245,17645.41,16508.871
246,17804.01,16888.678
247,17817.09,17344.0
248,18621.31,17713.979
249,18642.23,18124.701
250,18370.0,18455.766
251,18364.12,18593.186
252,19107.46,18593.533
253,18732.12,18711.215
254,17150.62,18780.363
255,17108.4,18424.145
256,17717.42,17927.953
257,18177.48,17652.715
258,19625.84,17691.85
259,18803.0,18228.986
260,19201.09,18671.662
261,19445.4,19011.459
262,18699.77,19255.475
263,19154.23,19208.426
264,19345.12,19138.85
265,19191.63,19139.79
266,18321.14,19149.576
267,18553.92,18950.555
268,18264.99,18749.246
269,18058.9,18538.037
270,18803.66,18332.209
271,19142.38,18364.412
272,19246.64,18594.812
273,19417.08,18881.28
274,21310.6,19146.049
275,22805.16,19778.473
276,23137.96,20798.785
277,23869.83,21818.475
278,23477.3,22719.783
279,22803.08,23206.502
280,23783.03,23182.006
281,23241.34,23161.049
282,23735.95,23050.059
283,24664.79,23063.139
284,26437.04,23374.395
285,26272.29,24188.346
286,27084.81,24978.193
287,27362.44,25705.486
288,28840.95,26250.754
289,29001.72,26917.037
290,29374.15,27508.557
291,32127.27,27987.352
292,32782.02,28965.63
293,31971.91,30089.973
294,33992.43,30742.066
295,36824.36,31458.242
296,39371.04,32729.617
297,40797.61,34562.023
298,40254.55,36472.31
299,38356.44,37675.844
300,35566.66,37667.82
301,33922.96,36380.52
302,37316.36,34501.918
303,39187.33,33856.27
304,36825.37,34547.586
305,36178.14,35040.52
306,35791.28,35027.48
307,36630.08,34629.527
308,36069.81,34390.047
309,35547.75,34185.945
310,30825.7,33933.797
311,33005.76,32520.059
312,32067.639999999996,31510.367
313,32289.38,30808.096
314,32366.389999999996,30530.072
315,32569.85,30543.955
316,30432.55,30718.451
317,33466.1,30348.395
318,34316.39,30569.021
319,34269.52,31255.953
320,33114.36,31951.42
321,33537.18,32124.42
322,35510.29,32081.078
323,37472.09,32467.996
324,36926.06,33480.895
325,38144.31,34359.234
326,39266.01,35186.73
327,38903.44,36018.188
328,46196.46,36514.004
329,46481.1,38562.527
330,44918.18,40836.617
331,47909.33,42078.508
332,47504.85,43167.914
333,47105.52,43782.53
334,48717.29,43919.438
335,47945.06,44236.492
336,49199.87,44378.742
337,52149.01,44722.348
338,51679.8,45806.973
339,55888.13,46772.957
340,56099.52,48417.723
341,57539.94,49904.74
342,54207.32,51200.004
343,48824.43,51172.87
344,49705.33,49216.914
345,47093.85,47262.92
346,46339.76,45330.414
347,46188.45,43838.848
348,45137.77,42958.88
349,49631.24,42325.008
350,48378.99,43102.266
351,50538.24,43939.586
352,48561.17,45029.85
353,48927.3,45365.758
354,48912.38,45331.34
355,51206.69,45165.07
356,52246.52,45612.797
357,54824.12,46494.6
358,56008.55,47943.688
359,57805.12,49476.2
360,57332.09,50994.445
361,61243.08,51908.152
362,59302.32,53253.81
363,55907.2,53925.16
364,56804.9,53255.457
365,58870.89,52448.023
366,57858.92,52402.742
367,58346.65,52485.637
368,58313.64,52699.945
369,57523.42,52872.65
370,54529.15,52760.008
371,54738.94,51799.17
372,52774.26,50815.66
373,51704.16,49655.992
374,55137.31,48512.457
375,55973.51,48599.773
376,55950.75,49419.92
377,57750.2,50260.324
378,58917.69,51249.24
379,58918.83,52272.72
380,59095.81,52994.816
381,59384.31,53412.688
382,57603.89,53660.777
383,58758.56,53339.574
384,59057.88,53174.113
385,58192.36,53228.125
386,56048.94,53151.41
387,58323.95,52493.23
388,58245.0,52345.957
389,59793.24,52465.566
390,60204.96,53044.746
391,59893.45,53731.766
392,63503.46000000001,54154.098
393,63109.7,55216.387
394,63314.01,56141.09
395,61572.79,56763.64
396,60683.82,56638.383
397,56216.19,56026.926
398,55724.27,54313.566
399,56473.03,52542.65
400,53906.09,51510.023
401,51762.27,50482.016
402,51093.65,49192.137
403,50050.87,47977.465
404,49004.25,46892.254
405,54021.75,45920.89
406,55033.12,46566.55
407,54824.7,47993.26
408,53555.11,49216.324
409,57750.18,49589.55
410,57828.05,50513.895
411,56631.08,51462.94
412,57200.29,51843.33
413,53333.54,52000.547
414,57424.01,51063.445
415,56396.51,50978.19
416,57356.4,51084.773
417,58803.78,51477.0
418,58232.32,52216.137
419,55859.8,52717.562
420,56704.57,52346.58
421,49150.53,51916.926
422,49716.19,49719.95
423,49880.53,47557.44
424,46760.19,46167.2
425,46456.06,44775.492
426,43537.51,43693.63
427,42909.4,42301.996
428,37002.44,40998.39
429,40782.74,38600.297
430,37304.69,37382.49
431,37536.63,36233.38
432,34770.58,35494.523
433,38705.98,34432.9
434,38402.22,34517.54
435,39294.2,35057.055
436,38436.97,35842.28
437,35697.61,36249.96
438,34616.07,35626.7
439,35678.13,34423.48
440,37332.85,33627.55
441,36684.92,33751.746
442,37575.18,34127.59
443,39208.77,34694.58
444,36894.41,35565.605
445,35551.96,35711.625
446,35862.38,35097.637
447,33560.71,34401.13
448,33472.63,33334.574
449,37345.12,32409.184
450,36702.6,32841.8
451,37334.4,33649.34
452,35552.52,34497.543
453,39097.86,34604.25
454,40218.48,35200.91
455,40406.27,36178.18
456,38347.06,37099.15
457,38053.5,37171.125
458,35787.24,36726.926
459,35615.87,35621.23
460,35698.3,34524.95
461,31676.69,33828.184
462,32505.66,32517.428
463,33723.03,31487.252
464,34662.44,31221.285
465,31637.78,31643.535
466,32186.28,31465.656
467,34649.64,31128.201
468,34434.34,31443.41
469,35867.78,31954.379
470,35040.84,32758.88
471,33572.12,33241.336
472,33897.05,33028.504
473,34668.55,32625.53
474,35287.78,32485.152
475,33746.0,32705.566
476,34235.19,32645.19
477,33855.33,32566.902
478,32877.37,32405.55
479,33798.01,32004.64
480,33520.52,31843.309
481,34240.19,31789.781
482,33155.85,31984.654
483,32702.029999999995,31958.004
484,32822.35,31696.7
485,31780.729999999996,31428.342
486,31421.54,30985.004
487,31533.07,30501.244
488,31796.810000000005,30176.963
489,30817.83,30099.754
490,29807.35,29912.49
491,32110.69,29451.492
492,32313.11,29569.96
493,33581.55,30008.838
494,34292.45,30784.127
495,35350.19,31655.727
496,37337.53,32563.877
497,39406.94,33715.715
498,39995.91,35172.535
499,40008.42,36490.305
500,42235.55,37334.664
501,41626.2,38263.785
502,39974.9,38825.477
503,39201.95,38630.816
504,38152.98,37950.18
505,39747.51,37010.938
506,40869.55,36677.457
507,42816.5,37047.625
508,44555.8,38121.77
509,43798.12,39605.19
510,46365.4,40586.703
511,45585.03,41646.38
512,45593.64,42231.91
513,44428.29,42429.83
514,47793.32,42113.984
515,47096.95,42544.312
516,47047.0,43051.098
517,46004.48,43410.344
518,44695.36,43305.47
519,44801.19,42678.23
520,46717.58,42043.23
521,49339.18,42119.656
522,48905.49,43189.35
523,49321.65,44256.59
524,49546.15,45043.543
525,47706.12,45489.97
526,48960.79,45182.504
527,46942.22,44965.117
528,49058.67,44383.86
529,48902.4,44369.605
530,48829.83,44596.977
531,47054.98,44830.414
532,47166.69,44518.113
533,48847.03,44065.65
534,49327.72,44133.996
535,50025.37,44562.984
536,49944.63,45190.887
537,51753.41,45672.598
538,52633.54,46381.566
539,46811.13,47202.645
540,46091.39,46341.844
541,46391.42,44781.09
542,44883.91,43510.066
543,45201.46,42433.953
544,46063.27,41864.77
545,44963.07,41908.22
546,47092.49,41906.707
547,48176.35,42385.98
548,47783.36,43202.793
549,47267.52,43806.527
550,48278.36,43974.65
551,47260.22,44150.938
552,42843.8,44043.637
553,40693.68,42721.953
554,43574.51,40695.06
555,44895.1,39745.035
556,42839.75,39984.203
557,42716.59,40156.2
558,43208.54,40134.37
559,42235.73,40116.55
560,41034.54,39856.3
561,41564.36,39257.016
