,y_test_original_20_3,y_test_model_20_3
0,5225.63,5147.353
1,5238.44,4984.553
2,6191.19,4952.526
3,6198.78,5116.6045
4,6185.07,5401.612
5,5830.25,5710.736
6,6416.31,5930.602
7,6734.8,6113.3574
8,6681.06,6305.385
9,6716.44,6487.092
10,6469.8,6640.234
11,6242.19,6719.041
12,5922.04,6697.9194
13,6429.84,6566.7803
14,6438.64,6446.5913
15,6606.78,6378.993
16,6793.62,6386.004
17,6733.39,6468.7446
18,6867.53,6581.242
19,6791.13,6704.4697
20,7271.78,6803.698
21,7176.41,6930.9707
22,7334.1,7060.3755
23,7302.09,7189.8696
24,6865.49,7297.347
25,6859.08,7310.3384
26,6971.09,7241.757
27,6845.04,7149.1816
28,6842.43,7050.475
29,6642.11,6964.6846
30,7116.8,6874.8633
31,7096.18,6855.0537
32,7257.66,6897.209
33,7189.42,6993.3413
34,6881.96,7099.6235
35,6880.32,7144.9126
36,7117.21,7127.668
37,7429.72,7105.9634
38,7550.9,7142.5024
39,7569.94,7243.7505
40,7679.87,7376.7783
41,7795.6,7519.2695
42,7807.06,7659.282
43,8801.04,7777.51
44,8658.55,8003.5967
45,8864.77,8280.441
46,8988.6,8567.499
47,8897.47,8828.241
48,8912.65,9011.279
49,9003.07,9106.366
50,9268.76,9141.681
51,9951.52,9180.172
52,9842.67,9334.3545
53,9593.9,9547.059
54,8756.43,9708.514
55,8601.8,9650.832
56,8804.48,9398.736
57,9269.99,9103.911
58,9733.72,8937.592
59,9328.2,8987.803
60,9377.01,9119.6875
61,9670.74,9256.391
62,9726.57,9403.335
63,9729.04,9545.192
64,9522.98,9659.878
65,9081.76,9701.524
66,9182.58,9609.579
67,9209.29,9451.079
68,8790.37,9296.539
69,8906.93,9118.031
70,8835.05,8963.691
71,9181.02,8847.589
72,9525.75,8830.595
73,9439.12,8946.071
74,9700.41,9121.2
75,9461.06,9331.049
76,10167.27,9487.556
77,9529.8,9678.853
78,9656.72,9782.539
79,9800.64,9806.105
80,9665.53,9800.524
81,9653.68,9767.713
82,9758.85,9720.521
83,9771.49,9690.532
84,9795.7,9684.285
85,9870.09,9698.17
86,9321.78,9732.6875
87,9480.84,9685.713
88,9475.28,9597.55
89,9386.79,9507.013
90,9450.7,9424.608
91,9538.02,9372.709
92,9480.26,9366.915
93,9411.84,9384.955
94,9288.02,9398.769
95,9332.34,9382.004
96,9303.63,9350.36
97,9648.72,9314.627
98,9629.66,9339.6455
99,9313.61,9410.848
100,9264.81,9445.55
101,9162.92,9424.74
102,9045.39,9352.633
103,9143.58,9243.037
104,9190.85,9146.548
105,9137.99,9092.493
106,9228.33,9071.367
107,9123.41,9085.561
108,9087.3,9103.698
109,9132.49,9108.778
110,9073.94,9108.65
111,9375.47,9098.602
112,9252.28,9130.8
113,9428.33,9177.492
114,9277.97,9247.178
115,9278.81,9298.671
116,9240.35,9321.28
117,9276.5,9313.875
118,9243.61,9294.592
119,9243.21,9269.875
120,9192.84,9246.711
121,9132.23,9221.4375
122,9151.39,9188.015
123,9159.04,9156.149
124,9185.82,9133.705
125,9164.23,9126.69
126,9374.89,9128.353
127,9525.36,9166.913
128,9581.07,9253.089
129,9536.89,9367.126
130,9677.11,9469.228
131,9905.17,9560.871
132,10990.87,9668.75
133,10912.82,9950.428
134,11100.47,10321.956
135,11111.21,10699.873
136,11323.47,11000.884
137,11759.59,11218.255
138,11053.61,11417.191
139,11246.35,11465.505
140,11205.89,11410.564
141,11747.02,11303.621
142,11779.77,11284.349
143,11601.47,11356.333
144,11754.05,11438.313
145,11675.74,11517.147
146,11878.11,11563.158
147,11410.53,11608.882
148,11584.93,11573.401
149,11784.14,11506.265
150,11768.87,11477.312
151,11865.7,11488.971
152,11892.8,11539.022
153,12254.4,11606.905
154,11991.23,11730.725
155,11758.28,11829.54
156,11878.37,11836.948
157,11592.49,11794.36
158,11681.83,11689.914
159,11664.85,11579.609
160,11774.6,11494.696
161,11366.14,11465.181
162,11488.36,11409.8125
163,11323.4,11351.434
164,11542.5,11279.223
165,11506.87,11247.332
166,11711.51,11251.769
167,11680.82,11311.511
168,11970.48,11393.242
169,11414.03,11516.386
170,10245.3,11552.186
171,10511.81,11300.027
172,10169.57,10922.34
173,10280.35,10516.801
174,10369.56,10205.266
175,10131.52,10043.767
176,10242.35,9970.96
177,10363.14,9968.611
178,10400.91,10026.826
179,10442.17,10118.613
180,10323.76,10218.619
181,10680.84,10283.722
182,10796.95,10367.455
183,10974.9,10481.594
184,10948.99,10628.008
185,10944.59,10765.693
186,11094.35,10864.258
187,10938.27,10939.887
188,10462.26,10965.766
189,10538.46,10869.728
190,10246.19,10711.172
191,10760.07,10505.981
192,10692.72,10396.31
193,10750.72,10383.13
194,10775.27,10439.446
195,10709.65,10526.205
196,10844.64,10597.489
197,10784.49,10660.435
198,10619.45,10700.373
199,10575.98,10689.048
200,10549.33,10634.852
201,10669.58,10561.336
202,10793.34,10513.894
203,10604.41,10520.898
204,10668.97,10534.192
205,10915.69,10548.401
206,11064.46,10601.03
207,11296.36,10702.2
208,11384.18,10857.199
209,11555.36,11034.66
210,11425.9,11217.178
211,11429.51,11345.329
212,11495.35,11404.755
213,11322.12,11419.439
214,11358.1,11379.658
215,11483.36,11316.456
216,11742.04,11277.321
217,11916.34,11313.139
218,12823.69,11427.93
219,12965.89,11725.438
220,12931.54,12128.935
221,13108.06,12500.248
222,13031.17,12783.227
223,13075.25,12934.621
224,13654.22,12975.954
225,13271.29,13048.606
226,13437.88,13087.784
227,13546.52,13110.557
228,13780.99,13139.679
229,13737.11,13211.4375
230,13550.49,13293.109
231,13950.3,13323.265
232,14133.71,13374.15
233,15579.85,13475.536
234,15565.88,13848.923
235,14833.75,14353.124
236,15479.57,14670.067
237,15332.32,14860.065
238,15290.9,14927.11
239,15701.34,14901.6
240,16276.34,14905.927
241,16317.809999999998,15053.018
242,16068.139999999998,15279.207
243,15955.59,15442.537
244,16716.11,15485.533
245,17645.41,15576.588
246,17804.01,15878.88
247,17817.09,16297.051
248,18621.31,16671.547
249,18642.23,17052.229
250,18370.0,17368.443
251,18364.12,17515.447
252,19107.46,17512.512
253,18732.12,17565.871
254,17150.62,17609.04
255,17108.4,17334.363
256,17717.42,16876.195
257,18177.48,16555.742
258,19625.84,16526.174
259,18803.0,16950.434
260,19201.09,17413.352
261,19445.4,17784.268
262,18699.77,18045.254
263,19154.23,18053.516
264,19345.12,17976.783
265,19191.63,17938.666
266,18321.14,17923.176
267,18553.92,17760.432
268,18264.99,17562.076
269,18058.9,17358.346
270,18803.66,17164.674
271,19142.38,17156.29
272,19246.64,17346.6
273,19417.08,17622.406
274,21310.6,17891.178
275,22805.16,18421.973
276,23137.96,19299.227
277,23869.83,20239.951
278,23477.3,21074.98
279,22803.08,21557.219
280,23783.03,21575.148
281,23241.34,21493.008
282,23735.95,21347.018
283,24664.79,21290.395
284,26437.04,21482.225
285,26272.29,22097.545
286,27084.81,22791.084
287,27362.44,23440.076
288,28840.95,23941.021
289,29001.72,24483.662
290,29374.15,24980.977
291,32127.27,25380.947
292,32782.02,26087.945
293,31971.91,26958.531
294,33992.43,27541.953
295,36824.36,28094.168
296,39371.04,29000.588
297,40797.61,30329.033
298,40254.55,31770.09
299,38356.44,32784.73
300,35566.66,32978.496
301,33922.96,32233.59
302,37316.36,30914.947
303,39187.33,30191.035
304,36825.37,30399.287
305,36178.14,30693.68
306,35791.28,30725.188
307,36630.08,30510.5
308,36069.81,30362.34
309,35547.75,30244.771
310,30825.7,30080.594
311,33005.76,29175.24
312,32067.639999999996,28340.287
313,32289.38,27718.54
314,32366.389999999996,27402.818
315,32569.85,27339.822
316,30432.55,27443.25
317,33466.1,27246.271
318,34316.39,27366.043
319,34269.52,27859.867
320,33114.36,28421.918
321,33537.18,28649.447
322,35510.29,28662.613
323,37472.09,28904.787
324,36926.06,29584.953
325,38144.31,30263.674
326,39266.01,30898.475
327,38903.44,31530.94
328,46196.46,31964.262
329,46481.1,33265.2
330,44918.18,34872.93
331,47909.33,35932.957
332,47504.85,36778.89
333,47105.52,37321.363
334,48717.29,37519.01
335,47945.06,37715.434
336,49199.87,37803.496
337,52149.01,37969.047
338,51679.8,38555.254
339,55888.13,39190.75
340,56099.52,40204.14
341,57539.94,41239.51
342,54207.32,42185.465
343,48824.43,42444.543
344,49705.33,41546.21
345,47093.85,40317.895
346,46339.76,38959.11
347,46188.45,37745.04
348,45137.77,36879.312
349,49631.24,36255.01
350,48378.99,36495.1
351,50538.24,37017.79
352,48561.17,37772.086
353,48927.3,38199.285
354,48912.38,38349.824
355,51206.69,38343.88
356,52246.52,38591.285
357,54824.12,39099.734
358,56008.55,39955.527
359,57805.12,40947.582
360,57332.09,41980.93
361,61243.08,42732.777
362,59302.32,43625.14
363,55907.2,44206.77
364,56804.9,44036.78
365,58870.89,43587.258
366,57858.92,43413.49
367,58346.65,43353.18
368,58313.64,43390.438
369,57523.42,43457.98
370,54529.15,43418.58
371,54738.94,42948.93
372,52774.26,42351.96
373,51704.16,41614.863
374,55137.31,40825.727
375,55973.51,40633.156
376,55950.75,40965.215
377,57750.2,41460.973
378,58917.69,42106.4
379,58918.83,42829.9
380,59095.81,43426.465
381,59384.31,43830.098
382,57603.89,44082.227
383,58758.56,43996.453
384,59057.88,43879.83
385,58192.36,43848.67
386,56048.94,43771.348
387,58323.95,43405.586
388,58245.0,43223.516
389,59793.24,43222.574
390,60204.96,43494.85
391,59893.45,43900.66
392,63503.46000000001,44227.156
393,63109.7,44850.98
394,63314.01,45486.023
395,61572.79,45976.566
396,60683.82,46072.02
397,56216.19,45821.152
398,55724.27,44930.68
399,56473.03,43808.32
400,53906.09,42950.555
401,51762.27,42146.523
402,51093.65,41234.305
403,50050.87,40354.816
