,y_test_original,y_test_model
0,5014.48,5274.371
1,5225.63,5169.304
2,5238.44,5136.082
3,6191.19,5206.5454
4,6198.78,5738.306
5,6185.07,6175.1567
6,5830.25,6236.176
7,6416.31,6022.5996
8,6734.8,6157.6504
9,6681.06,6561.222
10,6716.44,6724.4556
11,6469.8,6732.38
12,6242.19,6595.122
13,5922.04,6358.789
14,6429.84,6069.607
15,6438.64,6188.2295
16,6606.78,6407.3423
17,6793.62,6545.5137
18,6733.39,6711.176
19,6867.53,6765.2344
20,6791.13,6816.176
21,7271.78,6826.4326
22,7176.41,7055.8335
23,7334.1,7211.7056
24,7302.09,7284.628
25,6865.49,7318.957
26,6859.08,7078.3657
27,6971.09,6873.9893
28,6845.04,6900.469
29,6842.43,6894.318
30,6642.11,6850.4307
31,7116.8,6732.9805
32,7096.18,6894.1953
33,7257.66,7083.04
34,7189.42,7197.718
35,6881.96,7224.359
36,6880.32,7036.0884
37,7117.21,6888.1787
38,7429.72,6992.2344
39,7550.9,7272.222
40,7569.94,7496.087
41,7679.87,7575.5264
42,7795.6,7636.861
43,7807.06,7739.399
44,8801.04,7802.372
45,8658.55,8339.221
46,8864.77,8702.97
47,8988.6,8811.001
48,8897.47,8932.463
49,8912.65,8940.34
50,9003.07,8909.89
51,9268.76,8954.336
52,9951.52,9135.616
53,9842.67,9618.905
54,9593.9,9879.172
55,8756.43,9734.424
56,8601.8,9152.509
57,8804.48,8673.508
58,9269.99,8662.799
59,9733.72,9015.282
60,9328.2,9497.901
61,9377.01,9517.51
62,9670.74,9376.253
63,9726.57,9505.942
64,9729.04,9673.83
65,9522.98,9726.95
66,9081.76,9618.602
67,9182.58,9285.81
68,9209.29,9124.477
69,8790.37,9158.81
70,8906.93,8970.178
71,8835.05,8852.605
72,9181.02,8836.962
73,9525.75,9003.459
74,9439.12,9338.736
75,9700.41,9472.085
76,9461.06,9586.841
77,10167.27,9557.611
78,9529.8,9837.917
79,9656.72,9793.713
80,9800.64,9627.8545
81,9665.53,9702.754
82,9653.68,9707.963
83,9758.85,9654.495
84,9771.49,9692.499
85,9795.7,9745.34
86,9870.09,9771.073
87,9321.78,9821.144
88,9480.84,9563.653
89,9475.28,9408.284
90,9386.79,9437.91
91,9450.7,9411.368
92,9538.02,9409.889
93,9480.26,9477.963
94,9411.84,9490.848
95,9288.02,9434.3955
96,9332.34,9333.179
97,9303.63,9297.195
98,9648.72,9296.667
99,9629.66,9473.692
100,9313.61,9615.778
101,9264.81,9463.123
102,9162.92,9287.027
103,9045.39,9185.814
104,9143.58,9082.728
105,9190.85,9082.841
106,9137.99,9148.274
107,9228.33,9150.871
108,9123.41,9177.114
109,9087.3,9155.952
110,9132.49,9096.902
111,9073.94,9097.49
112,9375.47,9086.334
113,9252.28,9224.803
114,9428.33,9289.61
115,9277.97,9348.314
116,9278.81,9331.866
117,9240.35,9275.912
118,9276.5,9242.751
119,9243.61,9246.851
120,9243.21,9244.859
121,9192.84,9233.333
122,9132.23,9203.676
123,9151.39,9148.759
124,9159.04,9129.219
125,9185.82,9139.285
126,9164.23,9160.718
127,9374.89,9162.374
128,9525.36,9265.522
129,9581.07,9436.233
130,9536.89,9546.753
131,9677.11,9553.455
132,9905.17,9604.846
133,10990.87,9780.357
134,10912.82,10464.325
135,11100.47,10917.376
136,11111.21,11045.184
137,11323.47,11097.403
138,11759.59,11210.193
139,11053.61,11528.511
140,11246.35,11362.343
141,11205.89,11173.626
142,11747.02,11174.247
143,11779.77,11462.247
144,11601.47,11719.77
145,11754.05,11676.854
146,11675.74,11665.828
147,11878.11,11670.042
148,11410.53,11754.996
149,11584.93,11592.969
150,11784.14,11492.715
151,11768.87,11638.398
152,11865.7,11737.5
153,11892.8,11796.548
154,12254.4,11846.809
155,11991.23,12052.166
156,11758.28,12072.097
157,11878.37,11855.739
158,11592.49,11789.254
159,11681.83,11677.342
160,11664.85,11614.031
161,11774.6,11627.36
162,11366.14,11688.865
163,11488.36,11521.3125
164,11323.4,11412.152
165,11542.5,11349.737
166,11506.87,11409.309
167,11711.51,11480.916
168,11680.82,11591.023
169,11970.48,11659.364
170,11414.03,11809.5205
171,10245.3,11637.657
172,10511.81,10791.906
173,10169.57,10371.5625
174,10280.35,10241.314
175,10369.56,10201.924
176,10131.52,10288.816
177,10242.35,10216.554
178,10363.14,10173.523
179,10400.91,10268.893
180,10442.17,10356.849
181,10323.76,10406.579
182,10680.84,10363.686
183,10796.95,10498.307
184,10974.9,10707.738
185,10948.99,10879.218
186,10944.59,10945.013
187,11094.35,10934.821
188,10938.27,11002.232
189,10462.26,10983.63
190,10538.46,10673.605
