,y_test_original_5_3,y_test_model_5_3
0,5200.37,5724.421
1,5392.31,5441.949
2,5014.48,5215.043
3,5225.63,5122.4243
4,5238.44,5076.0156
5,6191.19,5129.8228
6,6198.78,5554.0815
7,6185.07,5908.553
8,5830.25,6011.8525
9,6416.31,5930.0947
10,6734.8,6069.51
11,6681.06,6376.0244
12,6716.44,6497.019
13,6469.8,6579.7183
14,6242.19,6502.4336
15,5922.04,6313.68
16,6429.84,6066.2954
17,6438.64,6137.0845
18,6606.78,6262.597
19,6793.62,6370.0605
20,6733.39,6557.0107
21,6867.53,6614.198
22,6791.13,6688.6357
23,7271.78,6710.213
24,7176.41,6909.4067
25,7334.1,7036.463
26,7302.09,7120.7466
27,6865.49,7191.613
28,6859.08,6993.572
29,6971.09,6849.0444
30,6845.04,6846.2397
31,6842.43,6790.452
32,6642.11,6757.3257
33,7116.8,6662.017
34,7096.18,6794.766
35,7257.66,6927.9927
36,7189.42,7028.706
37,6881.96,7092.377
38,6880.32,6946.577
39,7117.21,6845.3477
40,7429.72,6911.4834
41,7550.9,7107.714
42,7569.94,7296.626
43,7679.87,7401.901
44,7795.6,7497.8735
45,7807.06,7600.39
46,8801.04,7659.3843
47,8658.55,8131.583
48,8864.77,8422.962
49,8988.6,8576.083
50,8897.47,8771.471
51,8912.65,8783.944
52,9003.07,8790.208
53,9268.76,8836.4795
54,9951.52,8980.732
55,9842.67,9389.418
56,9593.9,9612.898
57,8756.43,9560.673
58,8601.8,9145.524
59,8804.48,8750.731
60,9269.99,8675.713
61,9733.72,8866.749
62,9328.2,9244.421
63,9377.01,9290.873
64,9670.74,9262.476
65,9726.57,9405.688
66,9729.04,9503.2295
67,9522.98,9559.665
68,9081.76,9499.07
69,9182.58,9235.435
70,9209.29,9106.012
71,8790.37,9087.347
72,8906.93,8882.703
73,8835.05,8801.566
74,9181.02,8766.1455
75,9525.75,8873.677
76,9439.12,9149.656
77,9700.41,9261.607
78,9461.06,9415.4
79,10167.27,9418.02
80,9529.8,9672.604
81,9656.72,9626.897
82,9800.64,9520.48
83,9665.53,9618.683
84,9653.68,9568.116
85,9758.85,9542.523
86,9771.49,9582.899
87,9795.7,9612.189
88,9870.09,9637.813
89,9321.78,9689.646
90,9480.84,9473.669
91,9475.28,9365.805
92,9386.79,9364.806
93,9450.7,9294.449
94,9538.02,9305.299
95,9480.26,9356.345
96,9411.84,9360.139
97,9288.02,9324.46
98,9332.34,9246.47
99,9303.63,9211.248
100,9648.72,9194.44
101,9629.66,9333.436
102,9313.61,9444.619
103,9264.81,9331.727
104,9162.92,9227.75
105,9045.39,9129.244
106,9143.58,9009.458
107,9190.85,8997.6045
108,9137.99,9031.284
109,9228.33,9024.733
110,9123.41,9060.382
111,9087.3,9042.816
112,9132.49,8995.79
113,9073.94,8999.7295
114,9375.47,8976.321
115,9252.28,9093.044
116,9428.33,9139.451
117,9277.97,9203.69
118,9278.81,9209.136
119,9240.35,9166.399
120,9276.5,9147.912
121,9243.61,9138.238
122,9243.21,9131.87
123,9192.84,9121.033
124,9132.23,9097.797
125,9151.39,9050.434
126,9159.04,9032.549
127,9185.82,9031.733
128,9164.23,9043.351
129,9374.89,9045.382
130,9525.36,9135.843
131,9581.07,9275.875
132,9536.89,9373.898
133,9677.11,9407.473
134,9905.17,9473.707
135,10990.87,9624.011
136,10912.82,10199.615
137,11100.47,10574.878
138,11111.21,10768.146
139,11323.47,10919.374
140,11759.59,11031.422
141,11053.61,11315.373
142,11246.35,11173.969
143,11205.89,11082.154
144,11747.02,11090.602
145,11779.77,11280.076
146,11601.47,11491.787
147,11754.05,11478.222
148,11675.74,11533.335
149,11878.11,11534.348
150,11410.53,11599.232
151,11584.93,11464.557
152,11784.14,11397.245
153,11768.87,11512.389
154,11865.7,11553.836
155,11892.8,11627.445
156,12254.4,11687.465
157,11991.23,11866.734
158,11758.28,11884.205
159,11878.37,11731.359
160,11592.49,11706.804
161,11681.83,11574.077
162,11664.85,11509.576
163,11774.6,11511.95
164,11366.14,11540.945
165,11488.36,11402.196
166,11323.4,11327.033
167,11542.5,11260.738
168,11506.87,11281.105
169,11711.51,11332.769
170,11680.82,11421.552
171,11970.48,11492.306
172,11414.03,11629.728
173,10245.3,11494.778
174,10511.81,10811.66
175,10169.57,10493.472
176,10280.35,10259.997
177,10369.56,10122.932
178,10131.52,10186.177
179,10242.35,10093.884
180,10363.14,10080.381
181,10400.91,10154.211
182,10442.17,10204.757
183,10323.76,10258.531
184,10680.84,10234.011
185,10796.95,10360.3955
186,10974.9,10525.719
187,10948.99,10673.75
188,10944.59,10765.607
189,11094.35,10783.582
190,10938.27,10860.894
191,10462.26,10840.066
192,10538.46,10589.805
193,10246.19,10455.852
194,10760.07,10287.146
195,10692.72,10384.63
196,10750.72,10506.084
197,10775.27,10539.931
198,10709.65,10606.406
199,10844.64,10586.198
200,10784.49,10631.378
201,10619.45,10645.895
202,10575.98,10560.643
