,Prices_5_1,Strategy_Returns_5_1,F_t_5_1
0,527.4,-0.039999977,0.0
1,495.96,-16.383947,0.99999946
2,479.64,-7.6113377,0.4011145
3,501.57,-11.002435,0.9969242
4,498.17,-13.303414,0.9580478
5,495.77,-21.150803,0.99966645
6,487.92,-17.771389,0.9998281
7,491.3,-8.612025,0.99995166
8,500.46,-47.43149,0.99511087
9,461.45,-50.281048,0.99984235
10,458.6,-72.490845,0.9999857
11,436.39,-68.60581,0.9969766
12,440.29,-62.25936,0.9175562
13,447.21,-61.832443,0.9934411
14,447.64,-51.713055,0.9999397
15,457.76,-60.09275,0.9999639
16,449.38,-71.712395,0.9999689
17,437.76,-73.07229,0.99991745
18,436.4,-75.99136,0.999669
19,433.48,-80.50559,0.99871945
20,428.96,-70.66243,0.9982989
21,438.82,-69.31256,0.99989873
22,440.17,-60.02356,0.99989295
23,449.46,-55.053856,0.9999404
24,454.43,-70.59309,0.9999505
25,438.89,-68.0232,0.9999572
26,441.46,-68.81315,0.99988616
27,440.67,-65.51646,0.9990132
28,443.97,-62.244038,0.9977143
29,447.25,-61.43416,0.99985915
30,448.06,-60.59418,0.99997187
31,448.9,-63.233932,0.99990565
32,446.26,-63.31393,0.9999
33,446.18,-23.781023,0.99982065
34,485.72,-17.732502,0.9997563
35,491.77,15.065581,0.9996373
36,524.58,10.705587,0.9999972
37,520.22,15.624809,0.9998426
38,525.14,62.07217,0.99994355
39,571.59,73.895355,0.9994324
40,583.42,61.75248,0.996942
41,571.24,67.57241,0.9999895
42,577.06,58.693596,0.9997926
43,568.18,105.05927,0.983377
44,615.33,113.38513,0.99711776
45,623.68,119.92871,0.9990261
46,630.23,150.31868,0.99999887
47,660.62,157.29826,0.9999451
48,667.6,131.32712,0.99927324
49,641.61,148.97661,0.9999714
50,659.26,143.41571,0.99987376
51,653.7,144.63412,0.95981765
52,654.97,145.77238,0.9737598
53,656.14,138.79272,0.99995095
54,649.16,142.78262,0.9999814
55,653.15,122.66338,0.99946463
56,633.02,76.60053,0.9998448
57,586.95,89.80866,0.99985915
58,600.16,67.013214,0.99957657
59,577.36,80.58465,0.87202
60,592.94,80.185455,0.50608474
61,592.19,98.79915,0.9969905
62,610.86,95.899155,0.999995
63,607.96,86.009766,0.99993813
64,598.07,82.089775,0.99999547
65,594.15,82.92948,0.9996754
66,594.99,90.20332,0.99918234
67,602.27,81.96197,0.99410474
68,593.98,70.34368,0.9998521
69,582.36,54.324017,0.9999788
70,566.34,69.12223,0.99988186
71,581.14,85.225784,0.99900043
72,597.26,84.52204,0.9906748
73,596.55,90.691086,0.99984676
74,602.72,127.77088,0.99999446
75,639.8,128.7807,0.9999197
76,640.81,138.82455,0.99741334
77,650.88,133.1046,0.9999895
78,645.16,118.6397,0.99964577
79,630.69,119.40898,0.99909914
80,631.46,123.7525,0.9985113
81,635.81,112.050896,0.99842757
82,624.09,112.779015,0.99755615
83,624.82,112.469025,0.99995905
84,624.51,104.71985,0.9998918
85,616.76,119.9527,0.99953187
86,632.0,121.66247,0.99986356
87,633.71,114.45342,0.9998676
88,626.5,107.273865,0.9999376
89,619.32,109.54379,0.9999685
90,621.59,104.75434,0.9998439
91,616.8,111.012856,0.99502426
92,623.09,116.70157,0.9997738
93,628.78,116.44159,0.9998964
94,628.52,111.82184,0.9999462
95,623.9,110.13192,0.9999514
