,sharp_grurl_15_1
0,0.0098064765
1,0.03424873
2,0.055478014
3,0.07418951
4,0.090910725
5,0.10605344
6,0.119935244
7,0.13279983
8,0.14483632
9,0.15619405
10,0.16699256
11,0.17732915
12,0.18728356
13,0.1969226
14,0.20630279
15,0.21547255
16,0.22447425
17,0.23334564
18,0.24212082
19,0.25083145
20,0.25950795
21,0.26818016
22,0.27687806
23,0.2856333
24,0.29447913
25,0.30345243
26,0.31259394
27,0.32195014
28,0.33157432
29,0.34152827
30,0.35188422
31,0.36272696
32,0.374155
33,0.3862834
34,0.39924443
35,0.41318852
36,0.4282827
37,0.4447079
38,0.46265158
39,0.482296
40,0.5038002
41,0.52727365
42,0.55274296
43,0.5801152
44,0.6091487
45,0.63944536
46,0.67047864
47,0.701655
48,0.7323983
49,0.76222986
50,0.7908197
51,0.8179971
52,0.8437449
53,0.8682041
54,0.8916791
55,0.91457826
56,0.9372829
57,0.9601173
58,0.9835589
59,1.0081623
60,1.0337318
61,1.0591241
62,1.0834358
63,1.106388
64,1.1281189
65,1.1496586
66,1.1717355
67,1.1936802
68,1.2147622
69,1.234892
70,1.2548115
71,1.2746574
72,1.2957387
73,1.3198348
74,1.3455138
75,1.371815
76,1.3979466
77,1.4250468
78,1.4508064
79,1.4751457
80,1.4990449
81,1.5228597
82,1.5458643
83,1.5681679
84,1.589386
85,1.6099027
86,1.6293896
87,1.6492223
88,1.6706849
89,1.6906095
90,1.7074959
91,1.7304317
92,1.746857
93,1.7614384
94,1.7771149
95,1.7915481
96,1.8079903
97,1.8252047
98,1.8403211
99,1.8566903
100,1.8732065
101,1.8868368
102,1.9015198
103,1.9158958
104,1.9314488
105,1.9481927
106,1.9636451
107,1.9790901
108,1.9935786
109,2.0077057
110,2.0230513
111,2.0378296
112,2.0525334
113,2.0651338
114,2.0778496
115,2.0883095
116,2.1065319
117,2.1214557
118,2.1352746
119,2.147956
120,2.157931
121,2.178744
122,2.1903799
123,2.1993601
124,2.224485
125,2.2340617
126,2.2585905
127,2.2776902
128,2.2848463
129,2.279842
130,2.3072643
131,2.324781
132,2.324437
133,2.3370519
134,2.3550797
135,2.354932
136,2.369128
137,2.383994
138,2.3893764
139,2.3990824
140,2.4038293
141,2.4125829
142,2.4215345
143,2.4260004
144,2.434909
145,2.4404151
146,2.44776
147,2.451155
148,2.4570062
149,2.462727
150,2.4675286
151,2.4717364
152,2.4747508
153,2.479006
154,2.4835508
155,2.487
156,2.4904134
157,2.4936116
158,2.497522
159,2.5011857
160,2.5045052
161,2.5079665
162,2.5118697
163,2.516338
164,2.5214415
165,2.527426
166,2.5342693
167,2.5417857
168,2.5498662
169,2.5580604
170,2.5660458
171,2.5737083
