,sharp_lstmrl_5_2
0,0.06714806
1,0.07787444
2,0.08729822
3,0.095836975
4,0.103756204
5,0.11123944
6,0.11842134
7,0.12540479
8,0.13227035
9,0.13908233
10,0.14589252
11,0.15274209
12,0.15966329
13,0.16667984
14,0.17380677
15,0.18104993
16,0.18840526
17,0.1958577
18,0.20338048
19,0.2109352
20,0.21847372
21,0.2259431
22,0.23329525
23,0.24050295
24,0.24758147
25,0.25461516
26,0.26178014
27,0.26935294
28,0.27769086
29,0.28717765
30,0.29814
31,0.31075293
32,0.32496396
33,0.3404566
34,0.35669243
35,0.37305668
36,0.3891126
37,0.40488398
38,0.42096943
39,0.43827695
40,0.45751226
41,0.47877994
42,0.5014189
43,0.52411896
44,0.54547846
45,0.5649395
46,0.5831829
47,0.6011189
48,0.6187076
49,0.635081
50,0.64945084
51,0.66172373
52,0.6724628
53,0.68237495
54,0.6917549
55,0.7005521
56,0.70896024
57,0.71760863
58,0.72715575
59,0.73783964
60,0.7493047
61,0.7610398
62,0.77328926
63,0.7859373
64,0.7977399
65,0.80841476
66,0.81854624
67,0.8287076
68,0.83948714
69,0.8515547
70,0.8654271
71,0.88115305
72,0.8978848
73,0.9135275
74,0.92634535
75,0.93663824
76,0.946031
77,0.9560911
78,0.9671989
79,0.9790539
80,0.9910263
81,1.0022911
82,1.0126454
83,1.0222434
84,1.031802
85,1.0420473
86,1.0535439
87,1.0666736
88,1.0807719
89,1.0924461
90,1.0712074
91,1.0737674
92,1.0567267
93,1.1151174
94,1.0683076
95,1.1453233
96,1.1205635
97,1.1117457
98,1.1575534
99,1.146341
100,1.1673007
101,1.1855818
102,1.1738183
103,1.2134968
104,1.2002403
105,1.2252649
106,1.2338411
107,1.2351379
108,1.2645739
109,1.2513634
110,1.2805256
111,1.2727767
112,1.2898421
113,1.2931725
114,1.2988511
115,1.3077768
116,1.3065319
117,1.319976
118,1.314955
119,1.3282206
120,1.3242812
121,1.3357041
122,1.3333873
123,1.3441659
124,1.3429372
125,1.3538352
126,1.3534259
127,1.3636477
128,1.3677753
129,1.3723146
130,1.3832858
131,1.3872391
132,1.3916949
133,1.4003322
134,1.4056697
135,1.4078987
136,1.4125646
137,1.4177723
138,1.4194443
139,1.4210391
140,1.4252522
141,1.4286605
142,1.429743
143,1.4316373
144,1.4355029
145,1.4394134
146,1.443217
147,1.4494148
148,1.4557534
149,1.4599317
150,1.4627582
151,1.4651544
152,1.4673144
153,1.468955
154,1.4680964
155,1.4452593
156,1.3491151
157,1.3322859
158,1.3510315
159,1.405762
160,1.2546579
161,1.4254819
162,1.3290038
163,1.217538
164,1.1662312
165,1.1487099
166,1.157301
167,1.1808921
168,1.202266
169,1.201165
170,1.1977723
171,1.2090786
172,1.2352821
173,1.268743
174,1.358312
175,1.4699925
176,1.1558591
177,1.0934142
178,1.0964174
179,1.1618946
180,1.4106947
181,1.4812015
182,1.2935214
183,1.2525599
184,1.235742
185,1.2321428
186,1.2262809
187,1.2229979
188,1.2232735
189,1.2266
190,1.2345159
191,1.2453288
192,1.2499017
193,1.2499839
194,1.2498814
195,1.2522452
196,1.2610501
197,1.2802663
198,1.3265616
199,1.4174116
200,1.5103916
201,1.4900348
202,1.4424404
203,1.3996363
204,1.4502844
205,1.502515
206,1.5236349
207,1.5277205
208,1.5002171
209,1.4815032
210,1.4788454
211,1.492522
212,1.5216649
213,1.5405337
214,1.5473998
215,1.5454022
216,1.5260354
217,1.5287142
218,1.5523213
219,1.5615832
220,1.5599984
221,1.5594196
222,1.5600356
223,1.5597155
224,1.563643
225,1.5740575
226,1.5828776
227,1.5808238
