,sharp_rrl_15_1
0,-0.06346806
1,-0.006531031
2,0.060960244
3,0.13516633
4,0.20632419
5,0.26476076
6,0.3089449
7,0.34310693
8,0.37148756
9,0.39682397
10,0.4208089
11,0.4445145
12,0.4685433
13,0.4930653
14,0.51788235
15,0.5425904
16,0.5668114
17,0.5904207
18,0.6136633
19,0.6371191
20,0.661562
21,0.6877619
22,0.71627355
23,0.7472532
24,0.78036535
25,0.8148399
26,0.8496923
27,0.8839765
28,0.9169377
29,0.94818425
30,0.9781764
31,1.0088344
32,1.0429406
33,1.0811344
34,1.1194113
35,1.1525418
36,1.1798115
37,1.2029308
38,1.2223709
39,1.2391194
40,1.2555132
41,1.2709962
42,1.2849637
43,1.2994622
44,1.3149891
45,1.3305415
46,1.348602
47,1.3686104
48,1.3890455
49,1.4113121
50,1.4321336
51,1.4527285
52,1.4705806
53,1.486885
54,1.5002596
55,1.5122856
56,1.5242431
57,1.5359246
58,1.548716
59,1.5638486
60,1.5798839
61,1.5962195
62,1.6130023
63,1.6286746
64,1.6432679
65,1.657372
66,1.6716754
67,1.6848866
68,1.6823248
69,1.710611
70,1.7343949
71,1.7559714
72,1.7657769
73,1.7760917
74,1.8054445
75,1.7934259
76,1.8158811
77,1.8301586
78,1.8583181
79,1.8820758
80,1.8850498
81,1.9165504
82,1.9038575
83,1.937315
84,1.9473695
85,1.9635309
86,1.9890019
87,1.9925878
88,2.0144594
89,2.0167906
90,2.0396402
91,2.0451431
92,2.0629346
93,2.0707757
94,2.0799475
95,2.0938532
96,2.1000733
97,2.108422
98,2.1242392
99,2.1266267
100,2.1368592
101,2.1498566
102,2.1519835
103,2.1614118
104,2.174475
105,2.1765752
106,2.1832368
107,2.1978781
108,2.199086
109,2.2042148
110,2.2178953
111,2.2205553
112,2.2233984
113,2.237647
114,2.2391915
115,2.2423444
116,2.255575
117,2.2566407
118,2.2583222
119,2.2722607
120,2.2733235
121,2.2729344
122,2.2865965
123,2.2901375
124,2.2881563
125,2.2998967
126,2.305263
127,2.3046045
128,2.3119156
129,2.3190129
130,2.3208163
131,2.3237858
132,2.3293712
133,2.3351033
134,2.3378336
135,2.3395207
136,2.3441172
137,2.3493505
138,2.3544352
139,2.3579855
140,2.3606474
141,2.363433
142,2.3661067
143,2.37058
144,2.3745573
145,2.3795893
146,2.383939
147,2.3883939
148,2.3924832
149,2.3964589
150,2.400299
151,2.4039319
152,2.4070542
153,2.409262
154,2.4074197
155,2.4024692
156,2.38289
157,2.4177155
158,2.4300032
159,2.4249997
160,2.4247818
161,2.428143
162,2.4438858
163,2.4439754
164,2.434436
165,2.4461682
166,2.4573517
167,2.4634573
168,2.462396
169,2.458584
170,2.4636643
171,2.4708123
172,2.4815886
173,2.4860816
174,2.4855149
175,2.4879444
176,2.493103
177,2.5013568
178,2.5066254
179,2.5085917
180,2.5110395
181,2.5153296
182,2.5221226
183,2.5284622
184,2.5327997
185,2.536099
186,2.5402021
187,2.546424
188,2.552856
189,2.5583353
190,2.5632272
191,2.5689032
192,2.57573
193,2.5825808
194,2.5886161
195,2.593601
196,2.596198
197,2.5935936
198,2.592868
199,2.5974257
200,2.6232338
201,2.621844
202,2.6302104
203,2.648127
204,2.6456742
205,2.6653998
206,2.6788483
207,2.6706593
208,2.6778026
209,2.6645355
210,2.6870644
211,2.6907933
212,2.711176
213,2.706799
214,2.706277
215,2.7185483
216,2.685815
217,2.7175736
218,2.7339127
219,2.7345781
